Country Name,Year,"School enrollment, primary, male (% gross)","School enrollment, primary, female (% gross)"
United Arab Emirates,1970,0,0
United Arab Emirates,1971,93.91656,64.38101
United Arab Emirates,1972,102.64079,68.2361
United Arab Emirates,1973,100.76024,73.73899
United Arab Emirates,1974,94.96389,75.59203
United Arab Emirates,1975,91.88519,76.91771
United Arab Emirates,1976,99.1653,89.29002
United Arab Emirates,1977,102.00258,96.04888
United Arab Emirates,1978,99.36172,96.09121
United Arab Emirates,1979,94.35532,93.27118
United Arab Emirates,1980,92.53267,90.45863
United Arab Emirates,1981,90.4425,86.47605
United Arab Emirates,1982,94.67406,90.49996
United Arab Emirates,1983,95.29551,90.99318
United Arab Emirates,1984,96.00035,91.63288
United Arab Emirates,1985,95.69688,91.21188
United Arab Emirates,1986,95.75512,92.79494
United Arab Emirates,1987,97.79451,93.73063
United Arab Emirates,1988,101.47641,96.25357
United Arab Emirates,1989,106.31896,100.63874
United Arab Emirates,1990,109.98462,104.63873
United Arab Emirates,1991,109.91398,105.6892
United Arab Emirates,1992,104.38485,101.25624
United Arab Emirates,1993,100.81254,99.33257
United Arab Emirates,1994,101.17438,99.45523
United Arab Emirates,1995,102.08444,99.97455
United Arab Emirates,1996,98.71231,97.39786
United Arab Emirates,1997,94.74472,92.99405
United Arab Emirates,1998,90.79261,89.90126
United Arab Emirates,1999,0,0
United Arab Emirates,2000,0,0
United Arab Emirates,2001,0,0
United Arab Emirates,2002,0,0
United Arab Emirates,2003,0,0
United Arab Emirates,2004,0,0
United Arab Emirates,2005,0,0
United Arab Emirates,2006,0,0
United Arab Emirates,2007,101.12369,102.08926
United Arab Emirates,2008,0,0
United Arab Emirates,2009,0,0
United Arab Emirates,2010,0,0
United Arab Emirates,2011,0,0
United Arab Emirates,2012,99.05749,100.89756
United Arab Emirates,2013,97.36524,100.07414
United Arab Emirates,2014,102.14638,104.061
United Arab Emirates,2015,111.4482,111.64165
United Arab Emirates,2016,110.59621,106.67191
United Arab Emirates,2017,109.43032,107.34338
United Arab Emirates,2018,0,0
Belgium,1970,0,0
Belgium,1971,109.01056,107.80264
Belgium,1972,107.83959,106.6124
Belgium,1973,100.74033,101.80352
Belgium,1974,103.64514,103.53171
Belgium,1975,104.04535,103.67131
Belgium,1976,104.85562,104.50322
Belgium,1977,105.29582,104.62349
Belgium,1978,105.13108,104.45675
Belgium,1979,104.10623,104.04608
Belgium,1980,104.26874,103.79934
Belgium,1981,103.66424,103.29004
Belgium,1982,102.95121,102.72443
Belgium,1983,99.42584,100.00812
Belgium,1984,98.43192,99.36458
Belgium,1985,97.76149,98.81594
Belgium,1986,98.31717,99.31518
Belgium,1987,99.20808,100.73713
Belgium,1988,100.34394,102.07917
Belgium,1989,100.68074,102.48807
Belgium,1990,100.17272,101.99549
Belgium,1991,99.14735,101.49108
Belgium,1992,97.96965,99.94535
Belgium,1993,102.60664,102.30022
Belgium,1994,102.08865,101.54458
Belgium,1995,102.10333,101.47028
Belgium,1996,102.29454,101.72046
Belgium,1997,0,0
Belgium,1998,0,0
Belgium,1999,104.22233,103.40448
Belgium,2000,105.11682,104.53788
Belgium,2001,104.39378,103.74379
Belgium,2002,103.51315,102.80492
Belgium,2003,102.79345,101.90845
Belgium,2004,100.97505,100.6175
Belgium,2005,100.68205,100.23297
Belgium,2006,101.01987,100.43634
Belgium,2007,101.68722,101.37481
Belgium,2008,102.27424,102.03599
Belgium,2009,102.29118,101.95695
Belgium,2010,102.04114,101.80219
Belgium,2011,102.04789,101.84109
Belgium,2012,102.46356,102.03899
Belgium,2013,103.75601,103.89094
Belgium,2014,103.66256,103.63292
Belgium,2015,103.24168,103.06613
Belgium,2016,103.37549,103.25745
Belgium,2017,103.85522,103.9583
Belgium,2018,0,0
Bangladesh,1970,75.01241,36.77577
Bangladesh,1971,69.5763,33.82008
Bangladesh,1972,82.69713,45.60529
Bangladesh,1973,98.29336,54.23527
Bangladesh,1974,98.41187,50.67871
Bangladesh,1975,103.40944,55.55429
Bangladesh,1976,104.79487,56.94861
Bangladesh,1977,93.54437,56.91495
Bangladesh,1978,91.76194,55.66431
Bangladesh,1979,90.37881,54.69713
Bangladesh,1980,88.9099,53.76432
Bangladesh,1981,82.78151,57.52066
Bangladesh,1982,83.63597,59.16526
Bangladesh,1983,90.61421,54.85811
Bangladesh,1984,84.36321,58.78841
Bangladesh,1985,82.32944,56.97407
Bangladesh,1986,81.90802,56.60137
Bangladesh,1987,80.58701,55.75403
Bangladesh,1988,88.91376,71.63406
Bangladesh,1989,88.5853,71.91479
Bangladesh,1990,90.71054,76.59801
Bangladesh,1991,0,0
Bangladesh,1992,0,0
Bangladesh,1993,0,0
Bangladesh,1994,0,0
Bangladesh,1995,0,0
Bangladesh,1996,0,0
Bangladesh,1997,0,0
Bangladesh,1998,0,0
Bangladesh,1999,0,0
Bangladesh,2000,0,0
Bangladesh,2001,0,0
Bangladesh,2002,0,0
Bangladesh,2003,0,0
Bangladesh,2004,0,0
Bangladesh,2005,99.43055,103.95454
Bangladesh,2006,99.68595,105.25839
Bangladesh,2007,98.14192,105.24104
Bangladesh,2008,96.61229,102.59263
Bangladesh,2009,100.56885,105.38209
Bangladesh,2010,102.82547,109.25345
Bangladesh,2011,0,0
Bangladesh,2012,0,0
Bangladesh,2013,0,0
Bangladesh,2014,0,0
Bangladesh,2015,0,0
Bangladesh,2016,0,0
Bangladesh,2017,111.08681,119.05796
Bangladesh,2018,112.35745,120.75175
Bolivia,1970,103.9264,73.63778
Bolivia,1971,99.4352,77.48537
Bolivia,1972,0,0
Bolivia,1973,101.83837,82.76979
Bolivia,1974,103.34,85.68758
Bolivia,1975,107.76793,90.91034
Bolivia,1976,109.43229,93.46434
Bolivia,1977,105.21031,91.38094
Bolivia,1978,105.26135,92.99418
Bolivia,1979,106.79364,94.5608
Bolivia,1980,104.22809,95.58928
Bolivia,1981,107.45113,95.45904
Bolivia,1982,0,0
Bolivia,1983,108.37809,98.93133
Bolivia,1984,112.87334,105.78433
Bolivia,1985,0,0
Bolivia,1986,111.15253,103.58541
Bolivia,1987,118.2346,109.71624
Bolivia,1988,0,0
Bolivia,1989,106.51043,99.78017
Bolivia,1990,108.79159,102.52477
Bolivia,1991,110.35152,104.43667
Bolivia,1992,110.27417,104.81612
Bolivia,1993,110.36615,106.53688
Bolivia,1994,112.1914,108.73207
Bolivia,1995,114.61884,111.2442
Bolivia,1996,115.68168,112.48854
Bolivia,1997,116.80653,113.79012
Bolivia,1998,117.46653,115.13866
Bolivia,1999,119.15212,117.41966
Bolivia,2000,119.04975,117.36041
Bolivia,2001,117.92384,116.53197
Bolivia,2002,118.38586,117.23113
Bolivia,2003,116.20999,115.87395
Bolivia,2004,115.41124,115.42229
Bolivia,2005,114.74427,114.88491
Bolivia,2006,113.21954,113.34209
Bolivia,2007,112.40294,112.37399
Bolivia,2008,111.26639,110.73989
Bolivia,2009,107.71178,106.611
Bolivia,2010,104.81144,104.21731
Bolivia,2011,101.07133,100.28627
Bolivia,2012,98.93805,97.59756
Bolivia,2013,98.03699,95.94832
Bolivia,2014,96.99894,94.75959
Bolivia,2015,96.87174,94.9035
Bolivia,2016,97.32766,95.74906
Bolivia,2017,98.15357,96.87381
Bolivia,2018,98.63172,97.64904
Brazil,1970,0,0
Brazil,1971,0,0
Brazil,1972,0,0
Brazil,1973,0,0
Brazil,1974,0,0
Brazil,1975,0,0
Brazil,1976,0,0
Brazil,1977,0,0
Brazil,1978,0,0
Brazil,1979,0,0
Brazil,1980,0,0
Brazil,1981,0,0
Brazil,1982,0,0
Brazil,1983,0,0
Brazil,1984,0,0
Brazil,1985,0,0
Brazil,1986,0,0
Brazil,1987,0,0
Brazil,1988,0,0
Brazil,1989,0,0
Brazil,1990,0,0
Brazil,1991,0,0
Brazil,1992,0,0
Brazil,1993,0,0
Brazil,1994,0,0
Brazil,1995,0,0
Brazil,1996,0,0
Brazil,1997,0,0
Brazil,1998,0,0
Brazil,1999,168.11698,163.02089
Brazil,2000,0,0
Brazil,2001,155.56178,145.88491
Brazil,2002,152.00936,141.54553
Brazil,2003,144.47924,136.47261
Brazil,2004,136.88785,130.36466
Brazil,2005,137.21523,129.16456
Brazil,2006,0,0
Brazil,2007,131.2836,124.87829
Brazil,2008,136.59953,127.31312
Brazil,2009,133.94613,128.18803
Brazil,2010,0,0
Brazil,2011,137.27679,127.55449
Brazil,2012,137.73423,131.12866
Brazil,2013,116.25508,111.47087
Brazil,2014,116.70946,111.69786
Brazil,2015,115.05741,110.39203
Brazil,2016,115.36409,112.44399
Brazil,2017,117.3906,113.40708
Brazil,2018,0,0
Switzerland,1970,0,0
Switzerland,1971,0,0
Switzerland,1972,0,0
Switzerland,1973,93.29024,94.4015
Switzerland,1974,92.74716,93.68452
Switzerland,1975,91.90988,93.18697
Switzerland,1976,91.125,92.5116
Switzerland,1977,82.70722,83.84048
Switzerland,1978,83.73495,84.68825
Switzerland,1979,82.81324,83.61332
Switzerland,1980,82.24638,82.99566
Switzerland,1981,82.11441,82.92342
Switzerland,1982,82.13249,82.82508
Switzerland,1983,81.39488,82.4299
Switzerland,1984,80.82891,82.09162
Switzerland,1985,80.73834,81.82275
Switzerland,1986,81.16528,82.10592
Switzerland,1987,82.19493,83.40747
Switzerland,1988,84.13127,85.22351
Switzerland,1989,86.73904,87.67335
Switzerland,1990,89.21047,90.13831
Switzerland,1991,90.53945,91.45242
Switzerland,1992,90.62135,91.93563
Switzerland,1993,95.8723,95.3273
Switzerland,1994,94.65992,94.44411
Switzerland,1995,96.18731,95.9262
Switzerland,1996,98.17644,98.03136
Switzerland,1997,0,0
Switzerland,1998,105.62186,105.19219
Switzerland,1999,106.14734,105.5985
Switzerland,2000,106.77788,106.59656
Switzerland,2001,105.55587,105.68524
Switzerland,2002,104.54028,104.7198
Switzerland,2003,103.92003,104.12201
Switzerland,2004,103.47863,103.19076
Switzerland,2005,102.45818,102.1477
Switzerland,2006,102.19448,101.76763
Switzerland,2007,102.32881,101.87495
Switzerland,2008,102.7937,102.27318
Switzerland,2009,103.06809,102.58719
Switzerland,2010,103.07835,102.60698
Switzerland,2011,103.36028,102.85256
Switzerland,2012,103.274,103.02621
Switzerland,2013,103.69662,103.50073
Switzerland,2014,103.44964,103.52739
Switzerland,2015,104.32746,104.03302
Switzerland,2016,104.98087,104.25858
Switzerland,2017,105.53818,104.82491
Switzerland,2018,0,0
China,1970,0,0
China,1971,0,0
China,1972,0,0
China,1973,0,0
China,1974,137.51296,99.70216
China,1975,133.4168,108.96678
China,1976,130.15871,112.53715
China,1977,124.35269,108.30091
China,1978,118.35415,102.53646
China,1979,117.78225,100.32783
China,1980,118.28391,100.7516
China,1981,120.24503,101.62637
China,1982,120.81153,100.12945
China,1983,121.29536,99.63011
China,1984,121.90348,100.62605
China,1985,127.27997,105.4429
China,1986,130.24447,112.17604
China,1987,134.38029,117.41046
China,1988,135.92007,119.79486
China,1989,135.73279,120.76775
China,1990,134.05745,120.63996
China,1991,129.96523,118.44505
China,1992,126.49148,116.66322
China,1993,122.71495,113.76862
China,1994,118.60001,111.05683
China,1995,114.7107,108.62555
China,1996,110.34993,105.64649
China,1997,107.21956,103.67685
China,1998,107.07442,104.37068
China,1999,0,0
China,2000,0,0
China,2001,112.80651,111.83423
China,2002,0,0
China,2003,0,0
China,2004,0,0
China,2005,0,0
China,2006,101.37534,100.56225
China,2007,101.26806,100.07257
China,2008,101.47706,99.90914
China,2009,100.78334,99.12141
China,2010,99.77054,98.04289
China,2011,99.75012,98.24032
China,2012,100.30844,99.19531
China,2013,99.67513,99.43689
China,2014,95.7645,95.83343
China,2015,96.20934,96.44554
China,2016,97.7319,98.22966
China,2017,98.97126,99.90993
China,2018,99.69995,100.83158
Colombia,1970,100.8986,103.72905
Colombia,1971,103.15273,106.36779
Colombia,1972,103.50891,107.04693
Colombia,1973,106.10777,110.0004
Colombia,1974,106.2333,110.79488
Colombia,1975,109.31661,113.65654
Colombia,1976,112.99126,117.33515
Colombia,1977,116.44874,120.61439
Colombia,1978,120.11222,124.50472
Colombia,1979,123.18487,127.29337
Colombia,1980,119.45664,122.33459
Colombia,1981,120.91154,123.68968
Colombia,1982,112.13364,113.86987
Colombia,1983,111.7529,113.47207
Colombia,1984,110.39952,111.21487
Colombia,1985,107.61933,110.57432
Colombia,1986,104.47271,107.54752
Colombia,1987,106.49905,107.94645
Colombia,1988,106.29587,107.85393
Colombia,1989,106.45578,108.07661
Colombia,1990,100.28307,114.98017
Colombia,1991,107.10494,108.95897
Colombia,1992,109.37073,115.4504
Colombia,1993,111.99954,114.57967
Colombia,1994,113.94367,113.40709
Colombia,1995,114.29936,113.67733
Colombia,1996,118.6853,118.43025
Colombia,1997,0,0
Colombia,1998,122.33525,119.29999
Colombia,1999,119.5007,119.77936
Colombia,2000,119.45648,119.30828
Colombia,2001,116.70498,115.77276
Colombia,2002,117.6199,116.66644
Colombia,2003,0,0
Colombia,2004,120.2346,118.89933
Colombia,2005,122.59949,120.40718
Colombia,2006,123.2248,121.60144
Colombia,2007,123.57256,122.7143
Colombia,2008,123.90465,123.37565
Colombia,2009,124.75361,124.39658
Colombia,2010,121.31,119.29285
Colombia,2011,119.5957,115.65773
Colombia,2012,116.79493,113.04351
Colombia,2013,117.72556,114.74792
Colombia,2014,116.35377,112.65401
Colombia,2015,116.97879,113.40598
Colombia,2016,117.80097,114.59583
Colombia,2017,116.77469,113.11086
Colombia,2018,116.21716,112.75912
Germany,1970,0,0
Germany,1971,0,0
Germany,1972,0,0
Germany,1973,0,0
Germany,1974,0,0
Germany,1975,0,0
Germany,1976,0,0
Germany,1977,0,0
Germany,1978,0,0
Germany,1979,0,0
Germany,1980,0,0
Germany,1981,0,0
Germany,1982,0,0
Germany,1983,0,0
Germany,1984,0,0
Germany,1985,0,0
Germany,1986,0,0
Germany,1987,0,0
Germany,1988,0,0
Germany,1989,0,0
Germany,1990,0,0
Germany,1991,0,0
Germany,1992,98.70393,99.63171
Germany,1993,101.22357,100.42939
Germany,1994,100.83543,99.99972
Germany,1995,101.80275,100.92838
Germany,1996,103.10603,102.02764
Germany,1997,104.62938,103.45297
Germany,1998,106.11961,104.7981
Germany,1999,105.86061,104.64007
Germany,2000,105.85176,104.75588
Germany,2001,104.84972,103.84735
Germany,2002,103.02604,102.04504
Germany,2003,102.46592,101.71246
Germany,2004,103.20719,102.54263
Germany,2005,103.30777,102.89497
Germany,2006,104.44435,103.97075
Germany,2007,105.05855,104.50063
Germany,2008,104.3824,103.64774
Germany,2009,103.7097,103.06751
Germany,2010,103.28221,102.69517
Germany,2011,102.80138,102.11483
Germany,2012,101.74443,101.47709
Germany,2013,101.10455,100.55736
Germany,2014,100.70843,100.35925
Germany,2015,101.73029,101.60096
Germany,2016,102.66439,102.6915
Germany,2017,103.89301,104.1598
Germany,2018,0,0
Denmark,1970,0,0
Denmark,1971,94.92439,96.86668
Denmark,1972,95.53586,97.35013
Denmark,1973,98.09293,99.72711
Denmark,1974,100.89668,102.48316
Denmark,1975,101.38638,104.35513
Denmark,1976,104.57301,103.77289
Denmark,1977,99.39904,102.24428
Denmark,1978,98.02148,100.71764
Denmark,1979,95.82648,99.00331
Denmark,1980,97.1975,97.51301
Denmark,1981,95.36119,95.59286
Denmark,1982,96.19605,96.40157
Denmark,1983,97.85117,98.15753
Denmark,1984,99.00059,98.92843
Denmark,1985,98.53924,99.02563
Denmark,1986,98.73537,98.62751
Denmark,1987,98.7379,98.9879
Denmark,1988,98.80832,99.15072
Denmark,1989,97.65609,97.94835
Denmark,1990,97.53591,97.84123
Denmark,1991,98.1948,98.31617
Denmark,1992,97.5219,97.33748
Denmark,1993,98.69118,98.43646
Denmark,1994,100.43229,100.2129
Denmark,1995,100.23697,100.57589
Denmark,1996,100.83175,100.44908
Denmark,1997,0,0
Denmark,1998,101.43171,101.74723
Denmark,1999,101.16454,101.5151
Denmark,2000,101.2867,101.57652
Denmark,2001,101.20901,101.5231
Denmark,2002,103.18656,103.46623
Denmark,2003,0,0
Denmark,2004,100.79685,100.66441
Denmark,2005,98.78532,98.67506
Denmark,2006,99.27758,99.32654
Denmark,2007,99.9803,100.05085
Denmark,2008,99.34247,99.90137
Denmark,2009,99.38751,99.75237
Denmark,2010,99.48323,99.68572
Denmark,2011,101.07254,100.47503
Denmark,2012,101.79869,100.89399
Denmark,2013,102.06062,101.00692
Denmark,2014,101.86188,100.70018
Denmark,2015,102.11914,100.76162
Denmark,2016,102.38797,101.19146
Denmark,2017,101.585,100.93354
Denmark,2018,0,0
United Kingdom,1970,0,0
United Kingdom,1971,104.06214,103.98787
United Kingdom,1972,103.49131,103.23125
United Kingdom,1973,102.71217,102.50712
United Kingdom,1974,102.71214,102.65958
United Kingdom,1975,102.77642,102.98632
United Kingdom,1976,103.11217,103.579
United Kingdom,1977,103.53835,104.01168
United Kingdom,1978,103.66786,104.14881
United Kingdom,1979,103.89948,104.3545
United Kingdom,1980,104.07078,104.55131
United Kingdom,1981,103.70592,104.17443
United Kingdom,1982,102.8244,103.25505
United Kingdom,1983,101.67777,101.98005
United Kingdom,1984,102.54315,102.45317
United Kingdom,1985,102.56136,102.94766
United Kingdom,1986,104.87652,105.30309
United Kingdom,1987,106.53726,106.96206
United Kingdom,1988,107.5679,107.91256
United Kingdom,1989,107.16454,107.6584
United Kingdom,1990,106.60678,107.06716
United Kingdom,1991,105.13364,105.84386
United Kingdom,1992,104.09359,104.25321
United Kingdom,1993,0,0
United Kingdom,1994,0,0
United Kingdom,1995,0,0
United Kingdom,1996,0,0
United Kingdom,1997,0,0
United Kingdom,1998,100.85154,100.74056
United Kingdom,1999,100.63291,100.70593
United Kingdom,2000,100.32197,100.3973
United Kingdom,2001,100.16923,100.29372
United Kingdom,2002,99.75398,99.89481
United Kingdom,2003,99.90641,100.08469
United Kingdom,2004,105.8996,105.97256
United Kingdom,2005,106.43732,106.33244
United Kingdom,2006,104.82628,105.32282
United Kingdom,2007,103.03893,103.45207
United Kingdom,2008,105.23613,104.8792
United Kingdom,2009,104.41077,104.10147
United Kingdom,2010,104.8321,104.26413
United Kingdom,2011,104.49182,104.35634
United Kingdom,2012,106.26959,106.22143
United Kingdom,2013,107.23622,106.98184
United Kingdom,2014,102.35407,102.15237
United Kingdom,2015,101.99082,101.85664
United Kingdom,2016,101.42037,101.24605
United Kingdom,2017,101.29649,101.00604
United Kingdom,2018,0,0
Ghana,1970,0,0
Ghana,1971,69.51053,58.39319
Ghana,1972,68.00863,56.34238
Ghana,1973,69.17807,56.94486
Ghana,1974,67.04571,55.97523
Ghana,1975,68.29362,55.45806
Ghana,1976,73.94066,59.3373
Ghana,1977,75.43425,60.64786
Ghana,1978,75.81698,60.64319
Ghana,1979,76.70788,62.15402
Ghana,1980,77.76124,63.65961
Ghana,1981,79.90271,66.12368
Ghana,1982,82.13058,67.46868
Ghana,1983,80.5627,66.10327
Ghana,1984,77.6697,63.73288
Ghana,1985,80.5172,64.55805
Ghana,1986,0,0
Ghana,1987,78.78347,62.01441
Ghana,1988,76.18229,62.93836
Ghana,1989,79.84117,66.58905
Ghana,1990,77.33773,65.20753
Ghana,1991,85.55629,73.17808
Ghana,1992,85.31716,74.34937
Ghana,1993,83.84443,73.96165
Ghana,1994,84.72265,75.29112
Ghana,1995,82.51341,74.14715
Ghana,1996,0,0
Ghana,1997,0,0
Ghana,1998,0,0
Ghana,1999,81.40447,75.14826
Ghana,2000,85.75621,79.86348
Ghana,2001,80.21651,75.50875
Ghana,2002,83.39311,78.51442
Ghana,2003,79.71116,75.42454
Ghana,2004,83.18189,78.24144
Ghana,2005,88.2945,84.72448
Ghana,2006,91.50238,89.79421
Ghana,2007,96.39674,94.73205
Ghana,2008,101.84085,100.17072
Ghana,2009,101.08881,99.45972
Ghana,2010,0,0
Ghana,2011,103.44462,102.477
Ghana,2012,106.78825,106.58333
Ghana,2013,106.13864,106.06135
Ghana,2014,104.61776,104.55587
Ghana,2015,108.35676,108.31824
Ghana,2016,106.08688,107.39577
Ghana,2017,104.99049,106.05085
Ghana,2018,102.95552,104.20701
Greece,1970,0,0
Greece,1971,102.07469,100.33852
Greece,1972,102.65765,101.33025
Greece,1973,103.25139,102.3011
Greece,1974,104.14909,103.63168
Greece,1975,103.54115,103.53064
Greece,1976,102.7377,103.4058
Greece,1977,101.67974,102.67635
Greece,1978,100.45032,101.62741
Greece,1979,99.56219,100.1692
Greece,1980,97.99875,98.11082
Greece,1981,99.20384,99.70501
Greece,1982,99.34374,99.54482
Greece,1983,99.58679,100.09596
Greece,1984,99.38939,99.9034
Greece,1985,98.98793,99.41033
Greece,1986,97.84281,98.29816
Greece,1987,95.04387,95.28897
Greece,1988,95.63156,95.96877
Greece,1989,95.12101,95.24849
Greece,1990,94.82124,94.51779
Greece,1991,94.39816,94.17324
Greece,1992,92.36623,92.61222
Greece,1993,90.2866,90.65347
Greece,1994,90.15093,90.39567
Greece,1995,91.58927,93.36246
Greece,1996,92.01552,92.40175
Greece,1997,92.40058,92.90816
Greece,1998,94.97099,95.30089
Greece,1999,96.65002,96.80405
Greece,2000,97.61089,97.59918
Greece,2001,96.37108,96.28266
Greece,2002,97.8588,96.8856
Greece,2003,98.61249,97.26032
Greece,2004,99.85388,97.46844
Greece,2005,98.87174,96.75714
Greece,2006,98.77573,96.53981
Greece,2007,97.70858,95.84466
Greece,2008,0,0
Greece,2009,0,0
Greece,2010,99.63336,97.35484
Greece,2011,99.27747,97.26552
Greece,2012,100.12491,98.16421
Greece,2013,99.76923,98.04188
Greece,2014,98.44274,97.27929
Greece,2015,99.96263,99.06667
Greece,2016,99.4824,99.06119
Greece,2017,99.53925,99.56859
Greece,2018,0,0
India,1970,0,0
India,1971,94.82848,60.93055
India,1972,95.59606,61.65603
India,1973,98.88109,64.6029
India,1974,98.1295,64.18544
India,1975,99.06169,64.99838
India,1976,98.59437,65.1925
India,1977,101.58429,67.39325
India,1978,97.69724,63.71403
India,1979,96.72078,64.30547
India,1980,98.13615,65.61253
India,1981,99.59224,67.28797
India,1982,100.357,67.80452
India,1983,102.12351,69.8634
India,1984,103.74137,71.38266
India,1985,102.54234,72.23265
India,1986,103.68704,75.38278
India,1987,100.3617,74.42185
India,1988,101.44487,75.91306
India,1989,105.60787,77.50959
